element,category_id,frequency_in_category
abit,Al-Iskandariyah (Alexandria),4
accepted,Al-Iskandariyah (Alexandria),5
activity,Al-Iskandariyah (Alexandria),13
afraid,Al-Iskandariyah (Alexandria),5
age,Al-Iskandariyah (Alexandria),5
alex,Al-Iskandariyah (Alexandria),23
alexandira,Al-Iskandariyah (Alexandria),3
amount,Al-Iskandariyah (Alexandria),5
amusement,Al-Iskandariyah (Alexandria),5
anyone,Al-Iskandariyah (Alexandria),6
april,Al-Iskandariyah (Alexandria),4
area,Al-Iskandariyah (Alexandria),22
arron,Al-Iskandariyah (Alexandria),3
attractive,Al-Iskandariyah (Alexandria),5
august,Al-Iskandariyah (Alexandria),12
autumn,Al-Iskandariyah (Alexandria),6
availability,Al-Iskandariyah (Alexandria),5
avoid,Al-Iskandariyah (Alexandria),8
awe,Al-Iskandariyah (Alexandria),3
awsome,Al-Iskandariyah (Alexandria),5
bad,Al-Iskandariyah (Alexandria),25
bag,Al-Iskandariyah (Alexandria),2
bath,Al-Iskandariyah (Alexandria),3
beach,Al-Iskandariyah (Alexandria),224
beautiful,Al-Iskandariyah (Alexandria),25
beech,Al-Iskandariyah (Alexandria),6
behavior,Al-Iskandariyah (Alexandria),8
behaviour,Al-Iskandariyah (Alexandria),2
best,Al-Iskandariyah (Alexandria),44
bicycle,Al-Iskandariyah (Alexandria),3
bit,Al-Iskandariyah (Alexandria),17
black,Al-Iskandariyah (Alexandria),4
bless,Al-Iskandariyah (Alexandria),4
boardwalk,Al-Iskandariyah (Alexandria),10
bridge,Al-Iskandariyah (Alexandria),3
brought,Al-Iskandariyah (Alexandria),5
bus,Al-Iskandariyah (Alexandria),7
busy,Al-Iskandariyah (Alexandria),5
cabin,Al-Iskandariyah (Alexandria),7
cafe,Al-Iskandariyah (Alexandria),24
calm,Al-Iskandariyah (Alexandria),2
car,Al-Iskandariyah (Alexandria),4
case,Al-Iskandariyah (Alexandria),3
catch,Al-Iskandariyah (Alexandria),7
cause,Al-Iskandariyah (Alexandria),2
chair,Al-Iskandariyah (Alexandria),9
change,Al-Iskandariyah (Alexandria),8
chaotic,Al-Iskandariyah (Alexandria),7
charge,Al-Iskandariyah (Alexandria),11
child,Al-Iskandariyah (Alexandria),12
childhood,Al-Iskandariyah (Alexandria),8
city,Al-Iskandariyah (Alexandria),3
class,Al-Iskandariyah (Alexandria),11
classy,Al-Iskandariyah (Alexandria),7
clean,Al-Iskandariyah (Alexandria),65
cleaner,Al-Iskandariyah (Alexandria),1
clear,Al-Iskandariyah (Alexandria),3
clothes,Al-Iskandariyah (Alexandria),5
coast,Al-Iskandariyah (Alexandria),5
coat,Al-Iskandariyah (Alexandria),5
cold,Al-Iskandariyah (Alexandria),18
colour,Al-Iskandariyah (Alexandria),2
compound,Al-Iskandariyah (Alexandria),2
continue,Al-Iskandariyah (Alexandria),4
cousin,Al-Iskandariyah (Alexandria),5
crime,Al-Iskandariyah (Alexandria),2
crowd,Al-Iskandariyah (Alexandria),18
cure,Al-Iskandariyah (Alexandria),7
dangerous,Al-Iskandariyah (Alexandria),5
day,Al-Iskandariyah (Alexandria),40
dirty,Al-Iskandariyah (Alexandria),19
disappointed,Al-Iskandariyah (Alexandria),5
dispose,Al-Iskandariyah (Alexandria),1
district,Al-Iskandariyah (Alexandria),14
divider,Al-Iskandariyah (Alexandria),4
dream,Al-Iskandariyah (Alexandria),7
drink,Al-Iskandariyah (Alexandria),4
due,Al-Iskandariyah (Alexandria),4
eat,Al-Iskandariyah (Alexandria),11
egp,Al-Iskandariyah (Alexandria),10
egy,Al-Iskandariyah (Alexandria),4
end,Al-Iskandariyah (Alexandria),5
enjoy,Al-Iskandariyah (Alexandria),36
enter,Al-Iskandariyah (Alexandria),10
entry,Al-Iskandariyah (Alexandria),10
era,Al-Iskandariyah (Alexandria),4
everyday,Al-Iskandariyah (Alexandria),5
everyone,Al-Iskandariyah (Alexandria),5
everything,Al-Iskandariyah (Alexandria),10
exchange,Al-Iskandariyah (Alexandria),5
expensive,Al-Iskandariyah (Alexandria),11
experience,Al-Iskandariyah (Alexandria),3
facility,Al-Iskandariyah (Alexandria),3
family,Al-Iskandariyah (Alexandria),47
famous,Al-Iskandariyah (Alexandria),11
fee,Al-Iskandariyah (Alexandria),13
fish,Al-Iskandariyah (Alexandria),4
folk,Al-Iskandariyah (Alexandria),3
food,Al-Iskandariyah (Alexandria),10
foreigner,Al-Iskandariyah (Alexandria),5
forgettable,Al-Iskandariyah (Alexandria),7
found,Al-Iskandariyah (Alexandria),5
free,Al-Iskandariyah (Alexandria),5
frequent,Al-Iskandariyah (Alexandria),8
friend,Al-Iskandariyah (Alexandria),22
full,Al-Iskandariyah (Alexandria),8
fun,Al-Iskandariyah (Alexandria),12
garbage,Al-Iskandariyah (Alexandria),2
garden,Al-Iskandariyah (Alexandria),25
general,Al-Iskandariyah (Alexandria),5
gift,Al-Iskandariyah (Alexandria),5
god,Al-Iskandariyah (Alexandria),13
golden,Al-Iskandariyah (Alexandria),3
gonna,Al-Iskandariyah (Alexandria),3
good,Al-Iskandariyah (Alexandria),34
