element,category,frequency_in_category,copies,tissue
917504,657,8,171,MLN
917505,158,1,13,ILN
917505,159,2,99,ILN
917505,647,1,27,ILN
917506,657,6,123,MLN
917507,657,2,115,MLN
917508,157,1,13,ILN
917508,653,1,94,Lung
917509,637,3,96,BM
917510,657,2,92,MLN
917511,159,1,87,ILN
917512,657,1,87,MLN
917513,657,3,92,MLN
917514,638,3,67,BM
917515,157,1,7,ILN
917515,159,2,15,ILN
917515,646,2,48,ILN
917515,647,1,14,ILN
917516,653,3,75,Lung
917517,159,1,11,ILN
917517,646,2,31,ILN
917517,647,3,32,ILN
917517,648,1,11,ILN
917518,159,2,40,ILN
917519,646,1,38,ILN
917520,662,1,31,SPL
917521,656,1,27,MLN
917522,161,1,25,Jejunum
917523,174,1,1,SPL
917523,661,1,9,SPL
917523,662,1,9,SPL
917524,662,1,16,SPL
917525,648,2,16,ILN
917526,663,1,13,SPL
917527,149,1,12,BM
917528,648,2,14,ILN
917529,661,1,11,SPL
917530,661,1,10,SPL
917531,646,1,9,ILN
917532,649,2,11,Jejunum
917533,648,1,8,ILN
917533,662,1,3,SPL
917534,646,2,10,ILN
917535,640,1,7,Colon
917536,647,1,6,ILN
917537,647,1,6,ILN
917538,646,1,6,ILN
917539,172,1,5,SPL
917540,646,1,5,ILN
917541,662,1,5,SPL
917542,652,1,3,Lung
917542,654,1,1,Lung
917543,645,1,3,Ileum
917544,647,1,3,ILN
917545,159,1,2,ILN
917546,159,1,2,ILN
917547,646,1,2,ILN
917548,646,1,2,ILN
917549,646,1,2,ILN
917550,646,1,2,ILN
917551,646,1,2,ILN
917552,650,1,2,Jejunum
917553,656,1,2,MLN
917554,652,7,197,Lung
917555,652,1,66,Lung
917556,639,1,46,BM
917557,645,1,3,Ileum
917557,646,5,17,ILN
917557,647,3,10,ILN
917557,648,1,2,ILN
917557,649,4,77,Jejunum
917557,650,2,16,Jejunum
917557,651,3,23,Jejunum
917558,646,2,7,ILN
917558,652,1,30,Lung
917559,655,2,6,MLN
917559,656,2,28,MLN
917560,157,1,2,ILN
917560,158,1,1,ILN
917560,646,4,16,ILN
917560,647,1,2,ILN
917560,648,4,13,ILN
917560,662,1,3,SPL
917560,663,1,7,SPL
917561,638,1,19,BM
917562,646,2,20,ILN
917562,647,1,2,ILN
917562,648,3,11,ILN
917563,655,1,18,MLN
917564,655,1,17,MLN
917565,646,1,7,ILN
917565,647,1,3,ILN
917565,648,2,5,ILN
917566,160,2,12,Jejunum
917566,649,1,3,Jejunum
917567,640,3,24,Colon
917567,647,1,1,ILN
917568,639,1,12,BM
917569,655,1,12,MLN
917570,655,1,12,MLN
917571,648,1,11,ILN
917572,658,1,11,PBL
917573,641,1,4,Colon
917573,646,2,9,ILN
917573,647,1,3,ILN
917573,648,5,17,ILN
917573,649,4,16,Jejunum
917573,650,3,13,Jejunum
917573,651,2,17,Jejunum
917574,655,1,11,MLN
917575,638,1,10,BM
917576,651,3,21,Jejunum
