csize,distance_between_users,user1,user2
771,0.82063474413190973,"pride and prejudice, by jane austen_chapter_26","emma, by jane austen_chapter_1"
738,0.7558246814510784,"pride and prejudice, by jane austen_chapter_33","emma, by jane austen_chapter_1"
779,0.81241074923810963,"pride and prejudice, by jane austen_chapter_42","emma, by jane austen_chapter_1"
821,0.836211215386641,"emma, by jane austen_chapter_26","emma, by jane austen_chapter_1"
749,0.75254980119790837,"emma, by jane austen_chapter_14","emma, by jane austen_chapter_1"
786,0.83072114741182934,"sense and sensibility, by jane austen_chapter_9","emma, by jane austen_chapter_1"
805,0.85696178709768533,"pride and prejudice, by jane austen_chapter_34","emma, by jane austen_chapter_1"
784,0.82866576261544289,"sense and sensibility, by jane austen_chapter_19","emma, by jane austen_chapter_1"
776,0.8127771053109254,"sense and sensibility, by jane austen_chapter_40","emma, by jane austen_chapter_1"
781,0.78951904221630986,"emma, by jane austen_chapter_8","emma, by jane austen_chapter_1"
780,0.79584696755062767,"emma, by jane austen_chapter_31","emma, by jane austen_chapter_1"
751,0.78933610945517763,"sense and sensibility, by jane austen_chapter_13","emma, by jane austen_chapter_1"
777,0.80294419910392878,"emma, by jane austen_chapter_39","emma, by jane austen_chapter_1"
761,0.79733314203646355,"pride and prejudice, by jane austen_chapter_21","emma, by jane austen_chapter_1"
764,0.792833594378535,"pride and prejudice, by jane austen_chapter_59","emma, by jane austen_chapter_1"
724,0.77472710192881478,"pride and prejudice, by jane austen_chapter_31","emma, by jane austen_chapter_1"
795,0.81965585901935512,"emma, by jane austen_chapter_52","emma, by jane austen_chapter_1"
809,0.84154003704370173,"sense and sensibility, by jane austen_chapter_50","emma, by jane austen_chapter_1"
769,0.77323704608926491,"emma, by jane austen_chapter_13","emma, by jane austen_chapter_1"
792,0.82427430648094369,"pride and prejudice, by jane austen_chapter_8","emma, by jane austen_chapter_1"
780,0.790718846735486,"emma, by jane austen_chapter_27","emma, by jane austen_chapter_1"
764,0.81005133966304033,"sense and sensibility, by jane austen_chapter_16","emma, by jane austen_chapter_1"
769,0.790264699224176,"pride and prejudice, by jane austen_chapter_55","emma, by jane austen_chapter_1"
770,0.78525232984990256,"emma, by jane austen_chapter_45","emma, by jane austen_chapter_1"
755,0.81721658062696623,"pride and prejudice, by jane austen_chapter_28","emma, by jane austen_chapter_1"
777,0.819606972505339,"sense and sensibility, by jane austen_chapter_39","emma, by jane austen_chapter_1"
760,0.79443703942230581,"pride and prejudice, by jane austen_chapter_22","emma, by jane austen_chapter_1"
774,0.83177496683213814,"sense and sensibility, by jane austen_chapter_24","emma, by jane austen_chapter_1"
771,0.81675869693187308,"sense and sensibility, by jane austen_chapter_22","emma, by jane austen_chapter_1"
744,0.733512609559417,"emma, by jane austen_chapter_2","emma, by jane austen_chapter_1"
798,0.80534762012594174,"emma, by jane austen_chapter_32","emma, by jane austen_chapter_1"
718,0.73815315825092453,"pride and prejudice, by jane austen_chapter_5","emma, by jane austen_chapter_1"
734,0.76963453180773911,"pride and prejudice, by jane austen_chapter_20","emma, by jane austen_chapter_1"
738,0.76535906570047008,"pride and prejudice, by jane austen_chapter_37","emma, by jane austen_chapter_1"
709,0.72766107098029442,"pride and prejudice, by jane austen_chapter_1","emma, by jane austen_chapter_1"
742,0.782890842100655,"sense and sensibility, by jane austen_chapter_14","emma, by jane austen_chapter_1"
793,0.79794519452786539,"emma, by jane austen_chapter_10","emma, by jane austen_chapter_1"
815,0.830302816387692,"emma, by jane austen_chapter_9","emma, by jane austen_chapter_1"
838,0.86111981782225056,"sense and sensibility, by jane austen_chapter_44","emma, by jane austen_chapter_1"
789,0.82863223859118973,"pride and prejudice, by jane austen_chapter_48","emma, by jane austen_chapter_1"
751,0.78542015493798811,"sense and sensibility, by jane austen_chapter_11","emma, by jane austen_chapter_1"
727,0.74396172151293538,"emma, by jane austen_chapter_37","emma, by jane austen_chapter_1"
777,0.80546625924670556,"emma, by jane austen_chapter_22","emma, by jane austen_chapter_1"
800,0.81474716913980716,"emma, by jane austen_chapter_3","emma, by jane austen_chapter_1"
761,0.77623765200073469,"emma, by jane austen_chapter_30","emma, by jane austen_chapter_1"
815,0.85485853810007773,"sense and sensibility, by jane austen_chapter_29","emma, by jane austen_chapter_1"
761,0.7934431465066546,"pride and prejudice, by jane austen_chapter_7","emma, by jane austen_chapter_1"
772,0.7911903369086295,"emma, by jane austen_chapter_16","emma, by jane austen_chapter_1"
800,0.86111506782725566,"pride and prejudice, by jane austen_chapter_36","emma, by jane austen_chapter_1"
716,0.74848172025152482,"pride and prejudice, by jane austen_chapter_38","emma, by jane austen_chapter_1"
777,0.80133554868592027,"emma, by jane austen_chapter_46","emma, by jane austen_chapter_1"
746,0.74895692886097709,"emma, by jane austen_chapter_5","emma, by jane austen_chapter_1"
807,0.852334422929566,"sense and sensibility, by jane austen_chapter_10","emma, by jane austen_chapter_1"
768,0.7899168172381007,"emma, by jane austen_chapter_21","emma, by jane austen_chapter_1"
723,0.76186146966005253,"pride and prejudice, by jane austen_chapter_17","emma, by jane austen_chapter_1"
810,0.84801951159185818,"sense and sensibility, by jane austen_chapter_42","emma, by jane austen_chapter_1"
786,0.8036580262530334,"emma, by jane austen_chapter_41","emma, by jane austen_chapter_1"
784,0.804434405666253,"emma, by jane austen_chapter_24","emma, by jane austen_chapter_1"
721,0.74897317600259239,"sense and sensibility, by jane austen_chapter_5","emma, by jane austen_chapter_1"
749,0.77685938220252093,"pride and prejudice, by jane austen_chapter_57","emma, by jane austen_chapter_1"
